,Station,Year,Month,Precipitation
145336,WEY738,2008,5,7.39
145337,WEY738,2008,6,2.15
145338,WEY738,2008,7,1.51
145339,WEY738,2008,8,1.15
145340,WEY738,2008,9,4.34
145341,WEY738,2008,10,4.31
145342,WEY738,2008,11,5.05
145343,WEY738,2008,12,4.86
145344,WEY738,2009,1,3.08
145345,WEY738,2009,2,2.66
145346,WEY738,2009,3,
145347,WEY738,2009,4,
145348,WEY738,2009,5,1.45
145349,WEY738,2009,6,2.07
145350,WEY738,2009,7,3.46
145351,WEY738,2009,8,
145352,WEY738,2009,9,
145353,WEY738,2009,10,
145354,WEY738,2009,11,
145355,WEY738,2009,12,
145356,WEY738,2010,1,
145357,WEY738,2010,2,
145358,WEY738,2010,3,
145359,WEY738,2010,4,
145360,WEY738,2010,5,
145361,WEY738,2010,6,
145362,WEY738,2010,7,
145363,WEY738,2010,8,
145364,WEY738,2010,9,
145365,WEY738,2010,10,
145366,WEY738,2010,11,1.17
145367,WEY738,2010,12,10.02
145368,WEY738,2011,1,3.86
145369,WEY738,2011,2,3.5
145370,WEY738,2011,3,2.1
145371,WEY738,2011,4,3.0
145372,WEY738,2011,5,3.45
145373,WEY738,2011,6,4.46
145374,WEY738,2011,7,1.42
145375,WEY738,2011,8,3.8
145376,WEY738,2011,9,10.88
145377,WEY738,2011,10,4.71
145378,WEY738,2011,11,4.27
145379,WEY738,2011,12,1.8
145380,WEY738,2012,1,2.0
145381,WEY738,2012,2,3.58
145382,WEY738,2012,3,4.07
145383,WEY738,2012,4,4.59
145384,WEY738,2012,5,5.64
145385,WEY738,2012,6,6.38
145386,WEY738,2012,7,1.04
145387,WEY738,2012,8,8.14
145388,WEY738,2012,9,5.09
145389,WEY738,2012,10,2.27
145390,WEY738,2012,11,4.86
145391,WEY738,2012,12,3.64
145392,WEY738,2013,1,3.56
145393,WEY738,2013,2,4.26
145394,WEY738,2013,3,3.62
145395,WEY738,2013,4,6.17
145396,WEY738,2013,5,2.17
145397,WEY738,2013,6,4.46
145398,WEY738,2013,7,7.82
145399,WEY738,2013,8,7.01
145400,WEY738,2013,9,11.27
145401,WEY738,2013,10,5.98
145402,WEY738,2013,11,2.66
145403,WEY738,2013,12,7.57
145404,WEY738,2014,1,9.52
145405,WEY738,2014,2,3.66
145406,WEY738,2014,3,6.01
145407,WEY738,2014,4,2.46
145408,WEY738,2014,5,5.57
145409,WEY738,2014,6,4.7
145410,WEY738,2014,7,1.62
145411,WEY738,2014,8,1.72
145412,WEY738,2014,9,6.57
145413,WEY738,2014,10,2.28
145414,WEY738,2014,11,5.91
145415,WEY738,2014,12,3.64
145416,WEY738,2015,1,1.48
145417,WEY738,2015,2,7.23
145418,WEY738,2015,3,3.1
145419,WEY738,2015,4,1.08
145420,WEY738,2015,5,1.59
145421,WEY738,2015,6,3.98
145422,WEY738,2015,7,3.38
145423,WEY738,2015,8,
145424,WEY738,2015,9,7.7
145425,WEY738,2015,10,6.5
145426,WEY738,2015,11,3.69
145427,WEY738,2015,12,7.58
145428,WEY738,2016,1,3.57
145429,WEY738,2016,2,0.63
145430,WEY738,2016,3,2.18
145431,WEY738,2016,4,3.92
145432,WEY738,2016,5,3.37
145433,WEY738,2016,6,6.98
145434,WEY738,2016,7,6.89
145435,WEY738,2016,8,4.78
145436,WEY738,2016,9,4.47
145437,WEY738,2016,10,1.64
145438,WEY738,2016,11,6.84
145439,WEY738,2016,12,8.86
145440,WEY738,2017,1,6.15
145441,WEY738,2017,2,3.64
145442,WEY738,2017,3,3.51
145443,WEY738,2017,4,6.46
145444,WEY738,2017,5,5.76
145445,WEY738,2017,6,6.93
145446,WEY738,2017,7,
145447,WEY738,2017,8,3.47
145448,WEY738,2017,9,3.39
145449,WEY738,2017,10,2.97
145450,WEY738,2017,11,
145451,WEY738,2017,12,4.91
145452,WEY738,2018,1,2.45
145453,WEY738,2018,2,6.23
145454,WEY738,2018,3,4.58
145455,WEY738,2018,4,2.18
145456,WEY738,2018,5,1.43
145457,WEY738,2018,6,4.82
145458,WEY738,2018,7,1.83
145459,WEY738,2018,8,7.38
145460,WEY738,2018,9,3.94
145461,WEY738,2018,10,2.72
145462,WEY738,2018,11,7.01
145463,WEY738,2018,12,2.84
145464,WEY738,2019,1,1.67
145465,WEY738,2019,2,1.42
145466,WEY738,2019,3,5.18
145467,WEY738,2019,4,4.47
145468,WEY738,2019,5,3.77
145469,WEY738,2019,6,
145470,WEY738,2019,7,3.25
145471,WEY738,2019,8,
145472,WEY738,2019,9,
145473,WEY738,2019,10,3.03
145474,WEY738,2019,11,0.99
145475,WEY738,2019,12,4.36
